name property WF d_band_center eg_band_center U_band_center p_band_center PE IE EA d_band_filling eg_band_filling T2g_band_filling d_dos_EF p_band_filling bader_charge aver_bader site_Od iso_corr
Ir110cuscusMOH 0.4204 6.9185 -1.8427 -1.1954 2.0000 -3.6759 2.2000 8.9670 1.5640 6.9602 1.6264 5.3343 0.5323 4.7465 7.4450 12.4363 3.7336 3.3852
Ir111bricusRuOH 0.6798 6.1040 -2.3343 -2.7595 0.9339 -3.4698 2.2000 7.3610 1.0460 5.8592 1.5921 4.2665 1.4226 4.6384 14.1219 14.1219 4.1727 2.0792
Ir111cuscusMOH 0.4751 6.0768 -2.9574 -3.3522 0.7678 -3.5766 2.2000 8.9670 1.5640 6.6511 1.8033 4.8481 0.8285 4.6199 7.2754 7.2754 4.1419 2.0453
Mn100cuscusMOH 0.6696 7.1043 -1.1314 -1.2531 1.1640 -3.3934 1.5500 7.4340 -0.5000 4.8673 2.1860 2.6807 3.2215 4.6735 13.2332 13.6599 3.7948 4.6879
Mn100cuscusRuOH 0.6196 6.8460 -1.3653 -2.0653 1.6707 -3.4415 2.2000 7.3610 1.0460 5.9010 2.5689 3.3327 2.5111 4.6765 14.2615 13.7285 3.7356 4.1549
Mn101cuscusRuOH 0.6234 6.6801 -1.4020 -3.3857 1.8886 -3.3698 2.2000 7.3610 1.0460 5.9500 2.0877 3.8627 1.0371 4.7095 14.2196 13.6899 3.3379 3.7499
Mn110bricusRuOH 0.6567 6.8554 -1.1925 -4.9558 1.9249 -3.2893 2.2000 7.3610 1.0460 6.1652 1.4474 4.7175 1.8530 4.7722 14.2661 13.9590 3.7625 3.5731
Mn110cuscusMOH 0.7897 7.0181 -0.6416 -0.1977 1.3826 -3.1689 1.5500 7.4340 -0.5000 5.1715 1.3120 3.8599 4.5005 4.7766 13.2922 13.9211 3.7909 3.7277
Mn110cuscusRuOH 0.6711 6.7770 -1.2018 -0.5404 1.8975 -3.1990 2.2000 7.3610 1.0460 6.1414 1.4795 4.6620 1.8832 4.7778 14.2662 13.9695 3.7063 3.3456
Mn111bricusRuOH 0.6114 5.7393 -1.3401 -4.4589 2.1021 -2.9683 2.2000 7.3610 1.0460 5.9050 1.5730 4.3320 1.1104 4.6407 14.1966 14.1966 4.1375 1.8118
Mn111cuscusMOH 0.6492 5.6615 -0.8009 -3.6178 1.5025 -3.2734 1.5500 7.4340 -0.5000 5.0855 1.4863 3.5990 2.0145 4.6536 13.2520 13.2520 4.2318 1.8700
